"","Var1","0","1","sum","no_of_zero"
"1","COCHINSHIP_true_false",19,7,26,73.1
"2","COFORGE_true_false",46,136,182,25.3
"3","COLPAL_true_false",33,154,187,17.6
"4","CONCOR_true_false",82,125,207,39.6
"5","COROMANDEL_true_false",67,114,181,37
"6","CREDITACC_true_false",5,9,14,35.7
"7","CRISIL_true_false",54,133,187,28.9
"8","CROMPTON_true_false",15,26,41,36.6
"9","CSBBANK_true_false",0,0,0,NA
"10","CUB_true_false",42,165,207,20.3
"11","CUMMINSIND_true_false",82,125,207,39.6
"12","CYIENT_true_false",73,86,159,45.9
"13","DABUR_true_false",31,176,207,15
"14","DALBHARAT_true_false",4,6,10,40
"15","DBCORP_true_false",70,47,117,59.8
"16","DBL_true_false",27,11,38,71.1
"17","DCAL_true_false",76,110,186,40.9
"18","DCBBANK_true_false",81,75,156,51.9
"19","DCMSHRIRAM_true_false",96,111,207,46.4
"20","DEEPAKNTR_true_false",13,83,96,13.5
"21","DELTACORP_true_false",63,80,143,44.1
"22","DHANUKA_true_false",35,65,100,35
"23","DISHTV_true_false",92,58,150,61.3
"24","DIVISLAB_true_false",44,155,199,22.1
"25","DIXON_true_false",7,18,25,28
"26","DLF_true_false",98,49,147,66.7
"27","DMART_true_false",3,28,31,9.7
"28","DRREDDY_true_false",79,128,207,38.2
"29","ECLERX_true_false",52,90,142,36.6
"30","EDELWEISS_true_false",75,67,142,52.8
"31","EICHERMOT_true_false",52,155,207,25.1
"32","EIDPARRY_true_false",86,121,207,41.5
"33","EIHOTEL_true_false",88,119,207,42.5
"34","ELGIEQUIP_true_false",83,124,207,40.1
"35","EMAMILTD_true_false",51,107,158,32.3
"36","ENDURANCE_true_false",19,17,36,52.8
"37","ENGINERSIN_true_false",121,86,207,58.5
"38","EQUITAS_true_false",37,5,42,88.1
"39","ERIS_true_false",20,8,28,71.4
"40","ESABINDIA_true_false",74,133,207,35.7
"41","ESCORTS_true_false",78,129,207,37.7
"42","EXIDEIND_true_false",72,135,207,34.8
"43","FCONSUMER_true_false",43,52,95,45.3
"44","FDC_true_false",87,120,207,42
"45","FEDERALBNK_true_false",73,134,207,35.3
"46","FINCABLES_true_false",73,134,207,35.3
"47","FINEORG_true_false",0,15,15,0
"48","FINPIPE_true_false",75,132,207,36.2
"49","FLUOROCHEM_true_false",0,0,0,NA
"50","FORTIS_true_false",75,74,149,50.3
"51","FRETAIL_true_false",31,7,38,81.6
"52","FSL_true_false",81,71,152,53.3
"53","GAEL_true_false",68,139,207,32.9
"54","GAIL_true_false",77,130,207,37.2
"55","GALAXYSURF_true_false",1,19,20,5
"56","GARFIBRES_true_false",2,86,88,2.3
"57","GEPIL_true_false",94,113,207,45.4
"58","GESHIP_true_false",88,119,207,42.5
"59","GHCL_true_false",100,107,207,48.3
"60","GICRE_true_false",20,4,24,83.3
"61","GILLETTE_true_false",68,139,207,32.9
"62","GLAXO_true_false",71,136,207,34.3
"63","GLENMARK_true_false",68,139,207,32.9
"64","GMDCLTD_true_false",100,107,207,48.3
"65","GMMPFAUDLR_true_false",0,19,19,0
"66","GMRINFRA_true_false",100,58,158,63.3
"67","GNFC_true_false",97,110,207,46.9
"68","GODFRYPHLP_true_false",84,123,207,40.6
"69","GODREJAGRO_true_false",14,10,24,58.3
"70","GODREJCP_true_false",47,160,207,22.7
"71","GODREJIND_true_false",57,143,200,28.5
"72","GODREJPROP_true_false",42,75,117,35.9
"73","GPPL_true_false",76,33,109,69.7
"74","GRANULES_true_false",62,90,152,40.8
"75","GRAPHITE_true_false",98,104,202,48.5
"76","GRASIM_true_false",70,137,207,33.8
"77","GREAVESCOT_true_false",96,85,181,53
"78","GRINDWELL_true_false",48,109,157,30.6
"79","GRSE_true_false",3,9,12,25
"80","GSFC_true_false",89,118,207,43
"81","GSPL_true_false",65,99,164,39.6
"82","GUJALKALI_true_false",91,116,207,44
"83","GUJGASLTD_true_false",11,38,49,22.4
"84","GULFOILLUB_true_false",25,38,63,39.7
"85","HAL_true_false",7,11,18,38.9
"86","HATHWAY_true_false",65,51,116,56
"87","HATSUN_true_false",20,44,64,31.2
"88","HAVELLS_true_false",35,172,207,16.9
"89","HCLTECH_true_false",46,156,202,22.8
"90","HDFC_true_false",36,171,207,17.4
"91","HDFCAMC_true_false",5,9,14,35.7
"92","HDFCBANK_true_false",23,184,207,11.1
"93","HDFCLIFE_true_false",1,22,23,4.3
"94","HEG_true_false",96,111,207,46.4
"95","HEIDELBERG_true_false",64,143,207,30.9
"96","HERITGFOOD_true_false",81,126,207,39.1
"97","HEROMOTOCO_true_false",71,136,207,34.3
"98","HFCL_true_false",75,48,123,61
"99","HINDALCO_true_false",97,110,207,46.9
"100","HINDCOPPER_true_false",84,33,117,71.8
