"","Var1","0","1","sum","no_of_zero"
"1","INDIGO_true_false",16,31,47,34
"2","INDOCO_true_false",91,86,177,51.4
"3","INDUSINDBK_true_false",66,141,207,31.9
"4","INDUSTOWER_true_false",50,32,82,61
"5","INFY_true_false",84,153,237,35.4
"6","INGERRAND_true_false",102,105,207,49.3
"7","INOXLEISUR_true_false",76,88,164,46.3
"8","IOB_true_false",125,82,207,60.4
"9","IOC_true_false",112,125,237,47.3
"10","IOLCP_true_false",39,68,107,36.4
"11","IPCALAB_true_false",67,170,237,28.3
"12","IRB_true_false",85,55,140,60.7
"13","IRCON_true_false",2,11,13,15.4
"14","IRCTC_true_false",0,0,0,NA
"15","ISEC_true_false",3,15,18,16.7
"16","ITC_true_false",85,152,237,35.9
"17","ITI_true_false",117,90,207,56.5
"18","J&KBANK_true_false",88,118,206,42.7
"19","JAGRAN_true_false",97,67,164,59.1
"20","JAICORPLTD_true_false",106,101,207,51.2
"21","JAMNAAUTO_true_false",45,61,106,42.5
"22","JBCHEPHARM_true_false",70,137,207,33.8
"23","JCHAC_true_false",67,140,207,32.4
"24","JINDALSAW_true_false",107,100,207,51.7
"25","JINDALSTEL_true_false",104,133,237,43.9
"26","JKCEMENT_true_false",60,103,163,36.8
"27","JKLAKSHMI_true_false",81,79,160,50.6
"28","JKPAPER_true_false",89,83,172,51.7
"29","JKTYRE_true_false",79,105,184,42.9
"30","JMFINANCIL_true_false",82,74,156,52.6
"31","JSL_true_false",112,79,191,58.6
"32","JSLHISAR_true_false",26,19,45,57.8
"33","JSWENERGY_true_false",76,41,117,65
"34","JSWSTEEL_true_false",82,115,197,41.6
"35","JTEKTINDIA_true_false",87,102,189,46
"36","JUBLFOOD_true_false",35,81,116,30.2
"37","JUSTDIAL_true_false",48,28,76,63.2
"38","JYOTHYLAB_true_false",48,94,142,33.8
"39","KAJARIACER_true_false",48,159,207,23.2
"40","KALPATPOWR_true_false",83,124,207,40.1
"41","KANSAINER_true_false",50,157,207,24.2
"42","KARURVYSYA_true_false",85,152,237,35.9
"43","KEC_true_false",75,131,206,36.4
"44","KEI_true_false",70,93,163,42.9
"45","KNRCON_true_false",55,85,140,39.3
"46","KOLTEPATIL_true_false",75,67,142,52.8
"47","KOTAKBANK_true_false",26,193,219,11.9
"48","KRBL_true_false",80,133,213,37.6
"49","KSB_true_false",81,126,207,39.1
"50","KSCL_true_false",42,102,144,29.2
"51","KTKBANK_true_false",109,124,233,46.8
"52","L&TFH_true_false",54,44,98,55.1
"53","LALPATHLAB_true_false",13,33,46,28.3
"54","LAOPALA_true_false",49,102,151,32.5
"55","LAURUSLABS_true_false",19,15,34,55.9
"56","LAXMIMACH_true_false",72,135,207,34.8
"57","LEMONTREE_true_false",18,0,18,100
"58","LICHSGFIN_true_false",78,129,207,37.7
"59","LINDEINDIA_true_false",69,164,233,29.6
"60","LT_true_false",69,138,207,33.3
"61","LTI_true_false",6,33,39,15.4
"62","LTTS_true_false",12,25,37,32.4
"63","LUPIN_true_false",58,159,217,26.7
"64","LUXIND_true_false",19,27,46,41.3
"65","M&M_true_false",75,162,237,31.6
"66","M&MFIN_true_false",69,94,163,42.3
"67","MAHABANK_true_false",122,64,186,65.6
"68","MAHINDCIE_true_false",81,65,146,55.5
"69","MAHLOG_true_false",17,6,23,73.9
"70","MAHSCOOTER_true_false",58,149,207,28
