,,,,,,,,,,,observe : 6137,,,,Not Invest :2643,,,,Not invest  : 1594,,,,Not Invest : 7989,,,,Not Invest : 9650,,,,Not iNvest : 5027,,,,Not Invest : 1590,,,,Invest : 166,,,,Not Invest : 558,,,,Not Invest : 1716,,,,Not Invest : 2932,,,,Not Invest : 2590,,,,Not Invest : 1059,,,,Not Invest : 1037,,,,,,,,Observe : 1434,,,,,
final_date,AARTIIND_close,AARTIIND_low,AARTIIND_moving_avg,AARTIIND_true_false,AIAENG_close,AIAENG_low,AIAENG_moving_avg,AIAENG_true_false,ALKYLAMINE_close,ALKYLAMINE_low,ALKYLAMINE_moving_avg,ALKYLAMINE_true_false,ASIANPAINT_close,ASIANPAINT_low,ASIANPAINT_moving_avg,ASIANPAINT_true_false,ASTRAL_close,ASTRAL_low,ASTRAL_moving_avg,ASTRAL_true_false,ATUL_close,ATUL_low,ATUL_moving_avg,ATUL_true_false,BAJAJFINSV_close,BAJAJFINSV_low,BAJAJFINSV_moving_avg,BAJAJFINSV_true_false,BAJFINANCE_close,BAJFINANCE_low,BAJFINANCE_moving_avg,BAJFINANCE_true_false,COLPAL_close,COLPAL_low,COLPAL_moving_avg,COLPAL_true_false,CUB_close,CUB_low,CUB_moving_avg,CUB_true_false,DABUR_close,DABUR_low,DABUR_moving_avg,DABUR_true_false,DEEPAKNTR_close,DEEPAKNTR_low,DEEPAKNTR_moving_avg,DEEPAKNTR_true_false,DMART_close,DMART_low,DMART_moving_avg,DMART_true_false,GARFIBRES_close,GARFIBRES_low,GARFIBRES_moving_avg,GARFIBRES_true_false,HAVELLS_close,HAVELLS_low,HAVELLS_moving_avg,HAVELLS_true_false,HCLTECH_close,HCLTECH_low,HCLTECH_moving_avg,HCLTECH_true_false,HDFC_close,HDFC_low,HDFC_moving_avg,HDFC_true_false,HDFCBANK_close,HDFCBANK_low,HDFCBANK_moving_avg,HDFCBANK_true_false,HDFCLIFE_close,HDFCLIFE_low,HDFCLIFE_moving_avg,HDFCLIFE_true_false
08-04-2021,NA,NA,NA,NA,1991.25,1954,1764.985,1,6167.85,6040,2746.3225,1,2652.65,2628,2005.955,1,1611.75,1589.7,993.34894,1,8034.95,7904.05,5404.82,1,9705.15,9575.05,7641.0525,1,5072.35,5051,3914.26,1,1587.45,1554.75,1463.06,1,167.2,166,171.68,0,559.7,548.25,492.605,1,1717,1705.1,723.53,1,2941,2890.65,2319.3975,1,2586.05,2566.6,1748.36,1,1059.75,1049,732.1375,1,1037.5,1031.65,706.57,1,2502.55,2485.75,2119.1025,1,1432.8,1430.5,1221.465,1,701.45,697.3,601.67,1
31-03-2021,1317.45,1310.1,1002.03,1,2052.7,1971.05,1742.155,1,5696.7,5650,2476.015,1,2537.4,2531,1954.1325,1,1616.85,1592.1,952.26695,1,7083.05,6940,5180.435,1,9668.6,9450,7511.7725,1,5149.85,5122.95,3827.2675,1,1559.35,1543.3,1447.415,1,155.95,154.65,173.4725,0,540.5,536.65,487.06,1,1656.5,1619.8,651.455,1,2859.05,2830,2250.905,1,2567.15,2480,1671.6225,1,1050.4,1048.25,713.1025,1,982.65,978.65,682.20375,1,2498.1,2490,2102.2975,1,1493.65,1488,1205.52375,1,696.2,681,594.455,1
26-02-2021,1235,1212.65,977.8075,1,1819.25,1785.75,1724.7725,1,5051.4,5030.05,2226.8425,1,2277.2,2260,1903.3175,1,1595.775,1560,908.77446,1,6559.45,6450,5008.3375,1,9648.6,9600,7383.235,1,5264.9,5221,3732.3775,1,1581.2,1555.65,1428.935,1,165.3,162.6,175.36,0,503.1,501,481.3575,1,1368.65,1360,582.52,1,2994.2,2950,2182.0875,1,2585.35,2551,1598.785,1,1105.55,1096,692.8475,1,909.45,905.1,658.935,1,2539.4,2520,2083.4825,1,1534.4,1521,1187.1325,1,700.65,693.95,584.32,1
29-01-2021,1159.25,1136.45,960.50875,1,1954.15,1917,1723.4875,1,4783.4,4705,2015.2775,1,2407.35,2400,1857.365,1,1287.6,1272.3,868.76272,1,6372.6,6324.55,4879.39,1,8722.75,8675.55,7327.0375,1,4734.55,4707.1,3653.1875,1,1603.3,1567.5,1406.26,1,169.25,166.25,177.9975,0,514.55,511.35,476.2275,1,971.55,961.2,528.5925,1,2651.5,2610,2102.2725,1,2251.3,2230,1530.6525,1,1044.75,1035.05,676.8775,1,914,909.5,640.07875,1,2377.8,2364.6,2066.1175,1,1390.5,1364.5,1171.50625,1,677.95,668.15,572.49,1
31-12-2020,1234.8,1207.9,949.275,1,1974.35,1942,1715.2,1,3829.95,3812.65,1817.47,1,2764.5,2725.05,1807.3625,1,1337.138,1274.25,844.14023,1,6430.1,6395,4763.0875,1,8906.35,8840,7300.2975,1,5295.2,5272,3589.815,1,1565.25,1560.2,1383.7125,1,180.1,177,180.135,0,534,532.15,470.2975,1,941.85,918.7,495.7725,1,2763.6,2670,2035.8525,1,2268.55,2222,1477.6875,1,916.15,900.55,662.0375,1,946.15,935,621.6925,1,2558.65,2504.4,2056.36,1,1436.3,1425.05,1162.615,1,676.5,669.55,560.675,1
27-11-2020,1155.3,1103.1,928.10125,1,1856.35,1828.5,1707.2175,1,4015,3673,1668.2275,1,2215.3,2165,1742.295,1,1102.088,1087.688,814.25984,1,6310.35,6155.55,4612.915,1,8758.8,8680,7231.0025,1,4908.8,4785.15,3479.8525,1,1513.7,1480.6,1365.8575,1,186.05,174,181.27,0,499.8,496.65,463.5025,1,865.1,800,461.885,1,2289.2,2220.05,1962.4475,1,2227.05,2135.15,1418.5325,1,801.4,796,654.9625,1,822.1,814.35,603.96875,1,2256.25,2202.2,2028.18,1,1440.85,1415.55,1148.73625,1,646.8,642.15,547.0775,1
30-10-2020,1000.55,989.1,909.2175,1,1699.2,1690.6,1706.2575,0,2967.65,2956,1509.27,1,2211.5,2195.5,1706.38,1,842.8877,840.0002,793.58945,1,6008.6,5975,4474.0575,1,5573.5,5511.05,7140.69,0,3309,3252.85,3384.205,0,1516.7,1506,1352.7675,1,147.7,147,182.035,0,511.45,508.05,459.06,1,742.25,738,432.3725,1,2239.9,2195.75,1921.6125,1,1884.15,1850,1362.9325,1,727.9,711.8,652.92,1,841.95,833,589.93625,1,1923.55,1906.85,2012.59,0,1183.55,1176.35,1134.26375,1,589.75,584,533.315,1
30-09-2020,1014.95,1008,893.9425,1,1848.55,1742.1,1707.0675,1,3208.95,3195,1396.425,1,1986.4,1958.15,1666.065,1,918.6002,862.6127,783.863075,1,6112.3,6058,4341.975,1,5852.35,5820,7185.1375,0,3278.6,3260,3351.205,0,1433.5,1412.5,1339.755,1,139.75,135.1,183.8225,0,510.55,496.3,455.39,1,821.2,816.55,406.8875,1,2203.15,2115,1882.4075,1,2132.75,2052.9,1321.3475,1,677.85,664,652.2925,1,811.6,807.1,574.18625,1,1740.05,1703.2,2008.4725,0,1078.6,1052,1127.025,0,559.4,555.95,521.44,1
31-08-2020,1047.7,1040,883.83625,1,1801.65,1785.45,1695,1,3103.95,3011,1273.5575,1,1899.1,1881.25,1637.375,1,841.5377,807.0002,771.869075,1,5780.45,5550,4209.67,1,6190.35,6135,7197.115,0,3487.8,3465,3316.0175,1,1363.25,1353,1332.085,1,135,134,186.385,0,474.6,470.9,452.045,1,683.45,663,376.795,1,2251.25,2195,1840.9925,1,1803.55,1765.3,1270.9775,1,615.55,613,654.0725,0,694.4,686,558.73625,1,1832.6,1797.55,2017.5875,0,1115.85,1100.7,1125.09375,0,574.8,567.05,512.05,1
