"","Var1","0","1","sum","no_of_zero"
"1","3MINDIA_true_false",56,151,207,27.1
"2","AARTIDRUGS_true_false",83,110,193,43
"3","AARTIIND_true_false",42,165,207,20.3
"4","AAVAS_true_false",6,6,12,50
"5","ABB_true_false",78,129,207,37.7
"6","ABBOTINDIA_true_false",29,101,130,22.3
"7","ABCAPITAL_true_false",18,7,25,72
"8","ABFRL_true_false",34,41,75,45.3
"9","ACC_true_false",67,140,207,32.4
"10","ADANIENT_true_false",68,139,207,32.9
"11","ADANIGREEN_true_false",0,16,16,0
"12","ADANIPORTS_true_false",56,87,143,39.2
"13","ADANITRANS_true_false",7,44,51,13.7
"14","ADVENZYMES_true_false",27,11,38,71.1
"15","AEGISCHEM_true_false",78,114,192,40.6
"16","AFFLE_true_false",0,2,2,0
"17","AIAENG_true_false",61,105,166,36.7
"18","AJANTPHARM_true_false",61,146,207,29.5
"19","AKZOINDIA_true_false",49,158,207,23.7
"20","ALEMBICLTD_true_false",103,104,207,49.8
"21","ALKEM_true_false",15,31,46,32.6
"22","ALKYLAMINE_true_false",20,105,125,16
"23","ALOKINDS_true_false",9,19,28,32.1
"24","AMARAJABAT_true_false",67,140,207,32.4
"25","AMBER_true_false",2,19,21,9.5
"26","AMBUJACEM_true_false",66,141,207,31.9
"27","APLAPOLLO_true_false",27,67,94,28.7
"28","APLLTD_true_false",30,67,97,30.9
"29","APOLLOHOSP_true_false",46,161,207,22.2
"30","APOLLOTYRE_true_false",76,131,207,36.7
"31","ASHOKA_true_false",57,51,108,52.8
"32","ASHOKLEY_true_false",96,111,207,46.4
"33","ASIANPAINT_true_false",13,194,207,6.3
"34","ASTERDM_true_false",12,8,20,60
"35","ASTRAL_true_false",19,112,131,14.5
"36","ASTRAZEN_true_false",66,132,198,33.3
"37","ATUL_true_false",40,167,207,19.3
"38","AUBANK_true_false",10,17,27,37
"39","AUROPHARMA_true_false",82,125,207,39.6
"40","AVANTIFEED_true_false",23,65,88,26.1
"41","AXISBANK_true_false",53,154,207,25.6
"42","BAJAJ-AUTO_true_false",54,153,207,26.1
"43","BAJAJCON_true_false",56,32,88,63.6
"44","BAJAJELEC_true_false",60,74,134,44.8
"45","BAJAJFINSV_true_false",22,103,125,17.6
"46","BAJAJHLDNG_true_false",46,117,163,28.2
"47","BAJFINANCE_true_false",35,172,207,16.9
"48","BALKRISIND_true_false",45,120,165,27.3
"49","BALMLAWRIE_true_false",95,112,207,45.9
"50","BALRAMCHIN_true_false",96,111,207,46.4
